Date,Year,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
2016-05-05,2016,180,Stockholm,10,0.001,5,5,19.85,4.5
2016-05-05,2016,180,Stockholm,1,0.0001,5,5,19.85,4.5
2016-05-07,2016,180,Stockholm,30,0.003,5,7,20.6,4.5
2016-05-10,2016,180,Stockholm,20,0.002,5,10,24.75,5.0
2016-05-11,2016,126,Huddinge,2,0.0002,5,11,21.3,4.0
2016-05-11,2016,483,Katrineholm,30,0.003,5,11,19.240000000000002,4.0
2016-05-11,2016,180,Stockholm,1,0.0001,5,11,22.25,4.5
2016-05-12,2016,180,Stockholm,20,0.002,5,12,27.950000000000003,5.5
2016-05-12,2016,1983,Köping,2,0.0002,5,12,21.683333333333334,4.333333333333333
2016-05-22,2016,126,Huddinge,1,0.0001,5,22,18.8,4.0
2016-05-24,2016,180,Stockholm,2,0.0002,5,24,24.200000000000003,5.0
2016-05-24,2016,562,Finspång,1,0.0001,5,24,20.755555555555556,4.0
2016-05-25,2016,126,Huddinge,10,0.001,5,25,22.8,5.0
2016-05-30,2016,1463,Mark,1,0.0001,5,30,23.214285714285715,4.857142857142857
2016-06-02,2016,862,Emmaboda,370,0.037,6,2,23.457142857142856,4.857142857142857
2016-06-02,2016,764,Alvesta,5000,0.5,6,2,28.9625,5.5
2016-06-03,2016,1290,Kristianstad,1,0.0001,6,3,19.638461538461538,4.153846153846154
2016-06-03,2016,764,Alvesta,3,0.0003,6,3,24.875,5.0
2016-06-03,2016,180,Stockholm,1000,0.1,6,3,19.75,4.5
2016-06-03,2016,881,Nybro,4000,0.4,6,3,25.65,5.0
2016-06-04,2016,136,Haninge,2,0.0002,6,4,21.45,4.5
2016-06-04,2016,180,Stockholm,12,0.0012,6,4,24.95,5.0
2016-06-04,2016,643,Habo,20,0.002,6,4,20.325,4.25
2016-06-05,2016,191,Sigtuna,1,0.0001,6,5,25.866666666666664,5.0
2016-06-05,2016,191,Sigtuna,1,0.0001,6,5,25.866666666666664,5.0
2016-06-05,2016,180,Stockholm,1,0.0001,6,5,31.65,5.5
2016-06-06,2016,1480,Göteborg,100,0.01,6,6,21.675,4.5
2016-06-07,2016,180,Stockholm,3,0.0003,6,7,27.25,5.5
2016-06-07,2016,1480,Göteborg,4,0.0004,6,7,26.575,5.25
2016-06-08,2016,2481,Lycksele,300,0.03,6,8,33.704255319148935,5.9361702127659575
2016-06-08,2016,180,Stockholm,35,0.0035,6,8,18.0,4.0
2016-06-09,2016,1265,Sjöbo,400,0.04,6,9,18.86,4.0
2016-06-09,2016,180,Stockholm,4,0.0004,6,9,20.4,4.0
2016-06-09,2016,180,Stockholm,2,0.0002,6,9,20.4,4.0
2016-06-09,2016,180,Stockholm,1,0.0001,6,9,20.4,4.0
2016-06-09,2016,767,Markaryd,250,0.025,6,9,23.4,5.0
2016-06-09,2016,2305,Bräcke,5000,0.5,6,9,22.248387096774195,4.354838709677419
2016-06-11,2016,1481,Mölndal,1,0.0001,6,11,23.9,5.0
2016-06-13,2016,581,Norrköping,60,0.006,6,13,22.6125,4.625
2016-06-13,2016,581,Norrköping,50,0.005,6,13,22.6125,4.625
2016-06-13,2016,180,Stockholm,500,0.05,6,13,24.35,5.0
2016-06-13,2016,180,Stockholm,5,0.0005,6,13,24.35,5.0
