,Year,Date,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
0,2000,2000-04-08,1384,Kungsbacka,500,0.05,4,8,1.2833333333333334,1.5
1,2000,2000-04-08,1499,Falköping,1000,0.1,4,8,2.3000000000000003,2.0
2,2000,2000-04-08,680,Jönköping,10,0.001,4,8,0.9428571428571428,1.3571428571428572
3,2000,2000-04-10,1980,Västerås,1,0.0001,4,10,8.899999999999999,3.0
4,2000,2000-04-11,180,Stockholm,8,0.0008,4,11,4.0,2.0
5,2000,2000-04-17,180,Stockholm,2,0.0002,4,17,0.4,1.0
6,2000,2000-04-18,580,Linköping,2,0.0002,4,18,0.4666666666666666,1.0
7,2000,2000-04-19,880,Kalmar,2,0.0002,4,19,5.127272727272727,2.0
8,2000,2000-04-20,1480,Göteborg,10,0.001,4,20,0.0,1.0
9,2000,2000-04-21,484,Eskilstuna,8,0.0008,4,21,6.5249999999999995,2.5
10,2000,2000-04-21,127,Botkyrka,1,0.0001,4,21,3.2,2.0
11,2000,2000-04-22,1441,Lerum,1,0.0001,4,22,1.9,2.0
12,2000,2000-04-22,680,Jönköping,1300,0.13,4,22,1.9285714285714286,1.7857142857142858
13,2000,2000-04-22,481,Oxelösund,200,0.02,4,22,5.0,2.0
14,2000,2000-04-23,1265,Sjöbo,1,0.0001,4,23,8.059999999999999,3.0
15,2000,2000-04-25,480,Nyköping,1,0.0001,4,25,3.641666666666667,1.8333333333333333
16,2000,2000-04-27,484,Eskilstuna,20,0.002,4,27,6.691666666666666,2.3333333333333335
17,2000,2000-04-28,484,Eskilstuna,50,0.005,4,28,7.558333333333334,2.75
18,2000,2000-04-28,2080,Falun,10,0.001,4,28,0.32105263157894737,1.0
19,2000,2000-04-29,139,Upplands-Bro,5,0.0005,4,29,10.866666666666667,3.0
20,2000,2000-04-29,180,Stockholm,1,0.0001,4,29,10.6,3.0
21,2000,2000-04-29,191,Sigtuna,4,0.0004,4,29,10.6,3.0
22,2000,2000-04-30,484,Eskilstuna,1,0.0001,4,30,11.758333333333333,3.0
23,2000,2000-04-30,1275,Perstorp,100,0.01,4,30,11.8,3.0
24,2000,2000-04-30,127,Botkyrka,10,0.001,4,30,10.5,3.0
25,2000,2000-04-30,2417,Norsjö,20,0.002,4,30,0.17058823529411765,1.0
26,2000,2000-04-30,1287,Trelleborg,30,0.003,4,30,6.42,2.6
27,2000,2000-05-01,1380,Halmstad,50,0.005,5,1,13.76,3.2
28,2000,2000-05-01,182,Nacka,1,0.0001,5,1,8.4,3.0
29,2000,2000-05-04,1280,Malmö,1,0.0001,5,4,12.766666666666666,3.0
30,2000,2000-05-04,1480,Göteborg,1,0.0001,5,4,4.6,2.2
31,2000,2000-05-05,1384,Kungsbacka,1,0.0001,5,5,4.8500000000000005,2.1666666666666665
32,2000,2000-05-05,1480,Göteborg,1,0.0001,5,5,6.44,2.4
33,2000,2000-05-06,1981,Sala,2,0.0002,5,6,9.620000000000001,3.0
34,2000,2000-05-06,1981,Sala,2,0.0002,5,6,9.620000000000001,3.0
35,2000,2000-05-06,484,Eskilstuna,1,0.0001,5,6,11.558333333333332,3.0
36,2000,2000-05-06,1280,Malmö,2,0.0002,5,6,12.233333333333334,3.0
37,2000,2000-05-07,1904,Skinnskatteberg,10,0.001,5,7,12.74,3.0
38,2000,2000-05-07,683,Värnamo,30,0.003,5,7,14.181818181818182,3.0
39,2000,2000-05-09,2281,Sundsvall,100,0.01,5,9,10.554545454545455,2.696969696969697
