Date,index,Municipality,FWI,FWI_index
2019-04-02,1058580,163,19.3,4.0
2019-04-02,1058581,180,18.4,4.0
2019-04-02,1058584,187,18.55,4.0
2019-04-02,1058586,191,18.03333333333333,4.0
2019-04-05,1059515,1277,17.6,4.0
2019-04-06,1059700,163,19.2,4.0
2019-04-06,1059701,180,19.35,4.0
2019-04-14,1062031,1272,17.0,4.0
2019-04-16,1062500,163,17.9,4.0
2019-04-16,1062501,180,17.85,4.0
2019-04-16,1062572,1060,22.066666666666666,4.333333333333333
2019-04-16,1062574,1081,20.0375,4.0
2019-04-16,1062575,1082,20.55,4.0
2019-04-16,1062576,1083,17.333333333333332,4.0
2019-04-16,1062577,1214,18.400000000000002,4.0
2019-04-16,1062581,1256,21.1,4.4
2019-04-16,1062583,1260,20.200000000000003,4.0
2019-04-16,1062591,1272,20.6,4.0
2019-04-16,1062594,1276,17.675,4.0
2019-04-16,1062595,1277,21.8,4.0
2019-04-17,1062809,561,19.3,4.0
2019-04-17,1062817,586,18.18,4.0
2019-04-17,1062852,1060,17.366666666666664,4.0
2019-04-18,1063089,561,19.849999999999998,4.166666666666667
2019-04-18,1063099,617,18.2,4.0
2019-04-18,1063103,665,17.6,4.0
2019-04-18,1063132,1060,18.133333333333333,4.0
2019-04-18,1063137,1214,17.866666666666664,4.0
2019-04-18,1063149,1267,17.4,4.0
2019-04-18,1063175,1401,18.733333333333334,4.0
2019-04-18,1063176,1402,17.2,4.0
2019-04-18,1063188,1443,17.7,4.0
2019-04-18,1063197,1463,21.385714285714283,4.285714285714286
2019-04-18,1063254,1961,18.4,4.0
2019-04-19,1063334,126,17.7,4.0
2019-04-19,1063335,127,17.5,4.0
2019-04-19,1063336,128,17.1,4.0
2019-04-19,1063340,163,19.6,4.0
2019-04-19,1063341,180,18.55,4.0
2019-04-19,1063343,182,20.5,4.0
2019-04-19,1063348,305,18.5,4.0
2019-04-19,1063357,461,21.35,4.25
2019-04-19,1063358,480,20.5,4.090909090909091
2019-04-19,1063359,481,20.6,4.0
2019-04-19,1063360,482,21.975,4.5
2019-04-19,1063361,483,20.490000000000002,4.2
2019-04-19,1063368,560,20.2,4.5
2019-04-19,1063369,561,24.2,4.833333333333333
2019-04-19,1063370,562,21.700000000000003,4.444444444444445
2019-04-19,1063372,580,19.7,4.166666666666667
2019-04-19,1063373,581,22.23125,4.625
2019-04-19,1063374,582,21.37142857142857,4.428571428571429
2019-04-19,1063375,583,18.183333333333334,4.0
2019-04-19,1063377,586,20.82,4.0
2019-04-19,1063392,761,19.5,4.0
2019-04-19,1063393,763,21.36,4.2
2019-04-19,1063395,765,21.2,4.428571428571429
2019-04-19,1063396,767,18.925,4.0
2019-04-19,1063404,862,20.685714285714287,4.0
2019-04-19,1063406,881,19.5,4.0
2019-04-19,1063412,1060,20.866666666666667,4.0
2019-04-19,1063421,1256,18.9,4.0
2019-04-19,1063432,1273,20.28,4.2
2019-04-19,1063449,1315,18.6125,4.0
2019-04-19,1063457,1415,18.8,4.0
2019-04-19,1063482,1472,20.2,4.0
2019-04-19,1063483,1473,19.771428571428572,4.142857142857143
2019-04-19,1063485,1481,18.15,4.0
2019-04-19,1063499,1496,19.614285714285717,4.0
2019-04-19,1063519,1814,19.875,4.0
2019-04-19,1063521,1861,21.2,4.25
2019-04-19,1063522,1862,19.575,4.0
2019-04-19,1063525,1880,21.557142857142857,4.357142857142857
2019-04-19,1063526,1881,22.7,5.0
2019-04-19,1063530,1885,20.091666666666665,4.166666666666667
2019-04-19,1063531,1904,20.4,4.0
2019-04-19,1063532,1907,20.733333333333334,4.0
2019-04-19,1063533,1960,20.2,4.0
2019-04-19,1063534,1961,23.2,5.0
2019-04-19,1063539,1983,23.066666666666666,4.666666666666667
2019-04-20,1063614,126,18.5,4.0
2019-04-20,1063615,127,17.4,4.0
2019-04-20,1063616,128,17.8,4.0
2019-04-20,1063619,140,20.066666666666666,4.333333333333333
2019-04-20,1063620,163,21.0,4.0
2019-04-20,1063621,180,23.35,5.0
2019-04-20,1063623,182,20.5,4.0
2019-04-20,1063626,191,18.333333333333332,4.0
2019-04-20,1063628,305,18.700000000000003,4.0
2019-04-20,1063634,381,19.533333333333335,4.0
2019-04-20,1063637,461,20.9,4.25
2019-04-20,1063640,482,22.1,4.625
2019-04-20,1063641,483,20.64,4.1
2019-04-20,1063642,484,20.375,4.25
2019-04-20,1063643,486,21.842857142857145,4.571428571428571
2019-04-20,1063648,560,20.233333333333334,4.333333333333333
2019-04-20,1063649,561,24.483333333333334,4.833333333333333
2019-04-20,1063650,562,21.177777777777777,4.222222222222222
2019-04-20,1063651,563,18.785714285714285,4.142857142857143
2019-04-20,1063652,580,20.883333333333336,4.333333333333333
2019-04-20,1063653,581,19.9625,4.1875
2019-04-20,1063654,582,21.057142857142857,4.285714285714286
2019-04-20,1063657,586,21.8,4.4
2019-04-20,1063670,687,19.925,4.0
2019-04-20,1063672,761,21.225,4.5
2019-04-20,1063673,763,23.04,4.9
2019-04-20,1063674,764,20.8125,4.375
2019-04-20,1063675,765,22.24285714285714,4.714285714285714
2019-04-20,1063676,767,22.125,4.75
2019-04-20,1063678,781,21.38823529411765,4.529411764705882
2019-04-20,1063679,821,22.614285714285717,4.714285714285714
2019-04-20,1063680,834,18.25,4.0
2019-04-20,1063683,861,18.933333333333334,4.333333333333333
2019-04-20,1063684,862,21.74285714285714,4.285714285714286
2019-04-20,1063685,880,18.927272727272726,4.181818181818182
2019-04-20,1063686,881,23.0125,4.875
2019-04-20,1063692,1060,22.3,4.666666666666667
2019-04-20,1063695,1082,19.433333333333334,4.0
2019-04-20,1063697,1214,21.833333333333332,4.666666666666667
2019-04-20,1063701,1256,21.119999999999997,4.4
2019-04-20,1063702,1257,22.45,4.5
2019-04-20,1063703,1260,23.5,4.5
2019-04-20,1063709,1267,20.1,4.0
2019-04-20,1063712,1273,22.64,4.8
2019-04-20,1063713,1275,20.6,4.0
2019-04-20,1063714,1276,24.5,5.0
2019-04-20,1063715,1277,20.6,4.0
2019-04-20,1063722,1285,19.725,4.25
2019-04-20,1063727,1292,20.966666666666665,4.333333333333333
2019-04-20,1063728,1293,19.650000000000002,4.0
2019-04-20,1063729,1315,20.55,4.125
2019-04-20,1063731,1381,20.475,4.25
2019-04-20,1063732,1382,18.96,4.0
2019-04-20,1063734,1384,19.383333333333336,4.166666666666667
2019-04-20,1063735,1401,21.53333333333333,4.333333333333333
2019-04-20,1063736,1402,21.9,4.0
2019-04-20,1063737,1415,25.6,5.0
2019-04-20,1063739,1421,20.919999999999998,4.4
2019-04-20,1063741,1430,24.06,4.8
2019-04-20,1063742,1435,21.333333333333332,4.333333333333333
2019-04-20,1063743,1438,24.085714285714285,4.857142857142857
2019-04-20,1063744,1439,19.533333333333335,4.166666666666667
2019-04-20,1063745,1440,20.25,4.0
2019-04-20,1063746,1441,20.799999999999997,4.0
2019-04-20,1063748,1443,21.0,4.0
2019-04-20,1063749,1444,18.85,4.0
2019-04-20,1063753,1452,19.6375,4.125
2019-04-20,1063754,1460,21.444444444444443,4.555555555555555
2019-04-20,1063756,1462,24.049999999999997,5.0
2019-04-20,1063757,1463,24.114285714285717,5.0
2019-04-20,1063758,1465,22.355555555555554,4.777777777777778
2019-04-20,1063759,1466,20.099999999999998,4.333333333333333
2019-04-20,1063762,1472,23.75,4.5
2019-04-20,1063763,1473,23.442857142857143,4.714285714285714
2019-04-20,1063764,1480,20.35,4.0
2019-04-20,1063765,1481,22.4,5.0
2019-04-20,1063766,1482,22.02,4.4
2019-04-20,1063768,1485,24.15,5.0
2019-04-20,1063769,1486,21.25,4.75
2019-04-20,1063771,1488,20.1,4.0
2019-04-20,1063778,1495,20.03333333333333,4.0
2019-04-20,1063779,1496,21.985714285714288,4.428571428571429
2019-04-20,1063784,1730,19.918181818181818,4.2727272727272725
